match_id,player_id,Ball Receipt*,Ball Recovery,Carry,Dispossessed,Dribble,Duel,Foul Won,Pass,Pressure,Shot,Block,Dribbled Past,Foul Committed,Interception,Miscontrol,Clearance,Error,Goal Keeper,Shield,Injury Stoppage,Offside,minutes_played,duels_lost,passes_last_15_minute,position_name_Center Attacking Midfield,position_name_Center Back,position_name_Center Defensive Midfield,position_name_Center Forward,position_name_Center Midfield,position_name_Goalkeeper,position_name_Left Attacking Midfield,position_name_Left Back,position_name_Left Center Back,position_name_Left Center Forward,position_name_Left Center Midfield,position_name_Left Defensive Midfield,position_name_Left Midfield,position_name_Left Wing,position_name_Left Wing Back,position_name_Right Attacking Midfield,position_name_Right Back,position_name_Right Center Back,position_name_Right Center Forward,position_name_Right Center Midfield,position_name_Right Defensive Midfield,position_name_Right Midfield,position_name_Right Wing,position_name_Right Wing Back,position_name_Secondary Striker,position_name_nan,total_running_distance,stamina_start,stamina_end,substituted
15956,7699,4,1,3,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,6.065066666666667,0,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,3.8000000000000114,109.0,108.2,False
15956,8206,11,2,9,0,0,0,0,11,5,0,0,0,1,0,2,0,0,0,0,0,0,16.66228333333333,0,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2.200000000000003,41.48888888888889,41.733333333333334,False
15956,8419,16,0,10,0,2,1,0,7,3,0,0,0,0,0,1,0,0,0,0,0,0,21.17315,0,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,28.299999999999997,93.41,96.1,False
15956,11291,35,8,30,1,2,2,2,24,14,0,2,0,0,1,3,0,0,0,0,0,0,43.5304,0,7,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,207.9,70.98666666666666,75.28999999999999,True
15956,11293,23,6,26,0,0,1,0,41,6,0,2,0,0,2,0,5,0,0,0,0,0,49.17328333333333,0,12,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,91.6,43.934615384615384,45.99615384615385,False
15956,11294,13,2,14,0,0,1,0,18,9,0,0,2,2,0,2,2,0,0,0,0,0,39.232099999999996,0,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,27.8,46.385714285714286,47.714285714285715,True
15956,11296,41,8,28,0,0,1,1,35,8,1,1,0,0,0,2,0,0,0,0,0,0,46.291216666666664,0,16,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,200.59999999999997,68.31428571428572,73.21428571428571,False
15956,11297,16,3,13,0,1,2,0,22,5,0,3,1,1,2,0,4,0,0,1,0,0,44.708099999999995,0,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,23.10000000000001,64.01538461538462,62.94615384615384,False
15956,11298,48,6,41,0,1,7,0,55,12,0,1,1,1,0,2,1,0,0,0,0,0,47.53353333333334,0,17,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,177.80000000000004,58.900000000000006,62.71951219512195,False
15956,11300,43,6,43,2,2,5,3,46,25,2,5,2,2,0,1,0,0,0,0,0,0,48.5519,0,10,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,132.29999999999998,60.26744186046512,62.539534883720926,False
15956,11302,14,5,10,0,0,0,0,36,0,0,0,0,0,0,0,0,0,13,0,0,0,43.19693333333333,0,9,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.699999999999998,10.66,11.79,False
15956,11303,22,7,25,0,1,3,2,28,11,0,2,0,3,0,1,0,0,0,1,0,0,48.933883333333334,0,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,163.3,53.62,59.376000000000005,False
15956,11304,19,5,19,0,0,4,1,26,3,1,3,1,1,3,1,3,0,0,0,0,0,41.66211666666666,0,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,77.7,42.42631578947368,42.10526315789474,False
15956,20055,8,7,13,0,0,0,0,30,0,0,0,0,0,0,0,0,0,10,0,1,0,48.35525,0,7,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,43.800000000000004,11.13076923076923,12.36153846153846,False
15973,3501,91,4,82,0,5,1,2,90,7,5,1,0,1,1,2,0,0,0,0,0,0,44.317433333333334,0,34,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,326.1,74.98536585365854,78.31585365853658,False
15973,5203,41,3,31,0,0,5,1,55,11,0,1,1,0,1,1,0,0,0,0,0,0,45.12696666666667,0,13,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,48.799999999999976,61.480645161290326,62.15161290322581,True
