match_id,player_id,50/50,Bad Behaviour,Ball Receipt*,Ball Recovery,Block,Carry,Clearance,Dispossessed,Dribble,Dribbled Past,Duel,Error,Foul Committed,Foul Won,Goal Keeper,Injury Stoppage,Interception,Miscontrol,Offside,Own Goal Against,Own Goal For,Pass,Player Off,Player On,Pressure,Shield,Shot,Substitution,minutes_played,position_name,duels_lost,index,period,minute,second,possession,duration,total_running_distance,passes_last_15_minute,should_be_subbed_x,should_be_subbed_y
16056,5203,0,1,31,3,0,22,0,0,0,0,5,0,3,1,0,0,3,1,0,0,0,39,0,0,14,0,2,1,43.06453333333333,Center Defensive Midfield,0,185236,184,4723,3061,10742,94.722609,86.46428751659609,11,0,0
16056,5211,0,0,50,4,1,47,2,0,1,4,4,0,0,1,0,0,2,0,0,0,0,67,0,0,20,0,0,0,48.372233333333334,Left Back,0,344424,303,9068,5470,19808,190.916674031,224.03176539532654,26,0,0
16056,5213,0,0,40,3,4,31,1,0,0,0,7,0,0,1,0,0,0,0,0,0,0,56,0,0,11,0,2,0,49.722633333333334,Right Center Back,0,243515,228,6382,4410,13964,155.796202,183.74049286894592,12,0,0
16056,5214,0,0,45,8,1,44,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,51,0,0,1,0,0,0,48.26253333333333,Left Defensive Midfield,0,277099,234,7272,4898,15868,153.906579,272.6126695772733,12,0,0
16056,5246,0,0,47,1,2,31,1,3,2,0,0,0,0,0,0,0,0,7,0,0,0,35,0,0,11,0,3,0,49.80426666666666,Center Forward,0,241409,216,6351,3517,13804,105.14668001,265.074605232134,11,0,0
16056,5470,0,0,54,4,0,50,0,1,1,3,4,0,2,2,0,0,2,0,0,0,0,63,0,0,12,0,0,0,44.750233333333334,Center Defensive Midfield,0,324125,298,8442,5891,18911,191.4988881,310.9226845710615,21,0,0
16056,5503,0,0,66,6,1,59,0,4,7,0,0,0,2,2,0,0,1,3,0,0,0,55,0,0,15,0,7,0,48.3958,Right Wing,0,398592,345,10499,6619,22940,231.4057251,437.6666826592093,19,0,0
16056,5563,0,0,44,2,0,32,0,1,1,0,4,0,1,0,0,0,2,0,0,0,0,48,0,0,18,0,0,0,48.185833333333335,Right Defensive Midfield,0,279875,237,7403,4757,16224,145.190031,184.75360214531344,14,0,0
16056,5687,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,3.222166666666667,Left Wing,0,23150,14,645,193,1305,5.6276969999999995,7.057619995437554,1,1,1
16056,6379,0,0,46,3,1,40,3,0,0,0,0,0,1,0,0,0,2,2,0,0,0,56,0,0,9,1,1,0,49.61723333333334,Right Back,0,274475,236,7226,4418,15674,141.069285,191.00978364945547,19,0,0
16056,6616,0,0,10,3,0,8,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,6,0,0,0,32.33845,Left Wing,0,116453,78,3192,1159,6769,30.733684,56.476019954428935,8,0,0
16056,6648,0,0,45,5,4,40,4,0,0,0,3,0,2,1,0,0,1,0,0,0,0,54,0,0,9,0,0,0,49.21626666666667,Right Center Back,0,264218,248,6914,4737,15182,155.23708,129.8792975876203,9,0,0
16056,6651,0,0,33,1,1,18,1,1,0,0,2,0,1,3,0,0,0,4,0,0,0,26,0,0,4,0,2,1,46.33076666666667,Left Center Forward,0,134165,138,3387,3162,7697,70.182478,99.69032396159147,4,1,1
16056,6657,0,0,7,2,0,6,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,7,0,0,1,0,0,0,18.51928333333333,Center Forward,0,81329,54,2250,893,4739,19.789155,17.955145648689133,6,0,0
16056,6658,0,0,37,5,1,33,1,1,3,0,0,0,1,0,0,0,2,4,0,0,0,40,0,0,12,0,2,0,49.33943333333333,Right Wing Back,0,242784,215,6389,3976,14025,138.05078699999999,260.9802653557033,7,0,0
16056,6673,0,0,21,1,1,15,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,18,0,0,3,0,2,0,32.56068333333334,Right Wing,0,179307,126,4892,1795,10577,69.879313,104.72600114595545,5,0,0
16056,6777,0,0,26,5,1,25,7,0,0,0,4,0,1,0,0,0,1,0,0,0,0,35,0,0,13,0,0,0,48.78046666666667,Left Center Back,0,182374,162,4838,3214,10397,126.5814571,157.0502729034982,11,0,0
16056,6792,0,0,16,2,0,15,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,40,0,0,1,0,0,0,48.25503333333334,Goalkeeper,0,139816,142,3610,3128,8110,135.192041,78.48822665977953,7,0,0
16056,6826,0,0,33,2,5,30,0,0,0,0,2,0,3,1,0,0,2,0,0,0,0,42,0,0,17,0,1,0,49.01713333333333,Left Center Back,0,237680,208,6267,3795,13704,142.219124,194.15665188959235,12,0,0
16056,7068,0,0,20,0,3,16,8,0,1,5,7,0,2,1,0,0,5,1,0,0,0,31,0,0,19,0,0,0,44.247899999999994,Center Back,0,177824,164,4651,3744,10067,116.8069661,149.1094057357217,13,0,0
16056,7910,0,0,33,5,3,27,1,2,5,1,4,0,2,3,0,0,0,3,0,0,0,18,0,0,10,0,4,1,44.23715,Center Forward,0,180296,171,4606,3449,10351,81.318267004,284.3553146387544,3,1,1
16056,8206,0,0,27,0,3,16,0,0,0,0,5,0,1,0,0,0,0,2,0,0,0,17,0,0,18,0,2,0,49.547066666666666,Left Defensive Midfield,0,229446,182,6098,2815,13594,50.911569,66.0144788769407,7,0,0
16056,11392,0,0,30,3,1,26,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,34,0,0,6,0,0,1,44.821283333333334,Left Center Midfield,0,93186,105,2346,3450,4905,96.86325,165.72290397048275,13,0,0
16056,13599,0,0,13,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,8,0,1,0,24.714716666666668,Right Defensive Midfield,0,159882,108,4417,1165,9347,49.672522,78.44474961063342,10,0,0
16056,17304,0,0,33,3,0,30,4,1,2,0,2,0,1,0,0,0,1,1,0,0,0,37,0,0,7,0,2,0,48.94121666666667,Left Wing Back,0,231988,188,6136,3759,13211,93.63790900000001,152.05296370770682,13,0,0
16056,20055,0,0,19,2,0,18,1,0,0,0,0,1,0,0,16,0,0,0,0,0,0,31,0,0,0,0,0,0,41.95365,Goalkeeper,0,125067,117,3223,2927,7056,127.727769,75.35852665239796,8,0,0
